word,Hint
nepal,Our country
cat,A pet animal
bike,A two wheeler
solitude,A state of being alone
python, Programming language
uncanny,Superpassing the ordinary or normal
unabashed,Not embarrassed
dilatory,Wasting time
fortuitous,Lucky
deception,Trickery
avatar,Highest grossing movie
anxiety,Unease state of mind
wanton,Immoral person
vilify,Spread negative information
upbraid,Express critism towards
spurious,Plausible but False
quaint,Attractively old-fashioned
munificent,Very generous
inverted,Upside down
microprocessor,A type of processor
levis,A clothing brand
covid,Pandemic of 2020
halsey,Now or never singer
godzilla,King of Monster(Movie)
maths,Subject everyone hates
minimum,Least
ignore,Not give attention
heist,Scam
india,our neighbouring country
keyword,Reserved word in programming language
